"","genbank_accession","organism","uid","loc","species_name","processid","lat","lon"
"72","KR152240","Macquarie perch","929045336","MP_GB23|Australia: Glenbrook Creek, Above National Park Causeway|2011|Dean Gilligan",NA,NA,NA,NA
"73","KR152241","Macquarie perch","929045350","MP_TU14|Australia: Abercrombie River, Tuena|Dean Gilligan",NA,NA,NA,NA
"74","KR152242","Macquarie perch","929045364","MP_CL1|Australia: Colo River, Below Wollemi Creek|2007|Dean Gilligan",NA,NA,NA,NA
"75","KR152243","Macquarie perch","929045378","MP_E6|Australia: Hughes Creek, Gorge|2009|Joanne Kearns, Andrew Pickworth",NA,NA,NA,NA
"76","KR152244","Macquarie perch","929045392","MP_F36|Australia: Sevens Creek, Galls Gap Road Bridge to Gooram Falls|2011|Justin O'Mahony and Joanne Kearns",NA,NA,NA,NA
"77","KR152245","Macquarie perch","929045406","MP_PP1|Australia: Wentworth Creek, Panther Park|2007|Dean Gilligan",NA,NA,NA,NA
"78","KR152246","Macquarie perch","929045420","MP_WC14|Australia: Wheeny Creek, Blue Gum Track|2005|Dean Gilligan",NA,NA,NA,NA
"79","KR152247","Macquarie perch","929045434","MP_WL10|Australia: Wollemi Creek, Wollemi Creek|2007|Dean Gilligan",NA,NA,NA,NA
"80","KR152248","Macquarie perch","929045448","MP_M26|Australia: Murrumbidgee River, Kissops Flat|Mark Lintermans",NA,NA,NA,NA
"81","KR152249","Macquarie perch","929045462","MP_CX2|Australia: Coxs River, Kelpie Point|2005|Dean Gilligan",NA,NA,NA,NA
"82","KR152250","Macquarie perch","929045476","MP_KW23|Australia: Kowmung River, Cedar Ford|2005|Dean Gilligan",NA,NA,NA,NA
"83","KR152251","Macquarie perch","929045490","MP_WO1|Australia: Wollangambe river, Above Bowens Creek|2007|Dean Gilligan",NA,NA,NA,NA
"84","KR152252","Macquarie perch","929045504","MP_CR47|Australia: Cataract River, Jordans Pass|2013|Dean Gilligan",NA,NA,NA,NA
"85","KR152253","Macquarie perch","929045518","MP_LT9|Australia: Little River, W41 Causeway|2005|Dean Gilligan",NA,NA,NA,NA
"86","KR152254","Macquarie perch","929045532","MP_L31|Australia: Cotter River, Cotter Dam|2011|Mark Lintermans",NA,NA,NA,NA
"87","KR152255","Macquarie perch","929045546","MP_B1|Australia: Hollands Creek, Hollands Creek upstream from Tatong bridge|2007|Alasdair McDonald, Joanne Kearns",NA,NA,NA,NA
"88","KR152256","Macquarie perch","929045560","MP_CR43|Australia: Cataract River, Jordans Pass|2013|Dean Gilligan",NA,NA,NA,NA
"89","KT626048","Macquarie perch","984698090","MP_AB12|Australia: Abercrombie River|34.02729 S 149.46088 E|10-May-2006|Dean Hartwell",NA,NA,NA,NA
"90","KT626049","Macquarie perch","984698091","MP_AB15|Australia: Abercrombie River|34.02729 S 149.46088 E|10-May-2006|Dean Hartwell",NA,NA,NA,NA
"91","KT626050","Macquarie perch","984698092","MP_AB17|Australia: Abercrombie River|33.9813 S 149.3843 E|20-Apr-2006|Dean Hartwell",NA,NA,NA,NA
"92","KT626051","Macquarie perch","984698093","MP_AB40|Australia: Abercrombie River|34.0878 S 149.55104 E|28-Mar-2008|Marty Asmus",NA,NA,NA,NA
"93","KT626052","Macquarie perch","984698094","MP_AB41|Australia: Abercrombie River|34.0878 S 149.55104 E|09-May-2008|Marty Asmus",NA,NA,NA,NA
"94","KT626053","Macquarie perch","984698095","MP_AC1|Australia: Adjungbilly Creek|35.021221 S 148.280492 E|09-May-2014|Tim McGarry, Dean Gilligan",NA,NA,NA,NA
"95","KT626054","Macquarie perch","984698096","MP_AC10|Australia: Adjungbilly Creek|35.05502 S 148.31598 E|09-May-2014|Tim McGarry, Dean Gilligan",NA,NA,NA,NA
"96","KT626055","Macquarie perch","984698097","MP_AC11|Australia: Adjungbilly Creek|35.05502 S 148.31598 E|09-May-2014|Tim McGarry, Dean Gilligan",NA,NA,NA,NA
"97","KT626056","Macquarie perch","984698098","MP_AC12|Australia: Adjungbilly Creek|35.05502 S 148.31598 E|09-May-2014|Tim McGarry, Dean Gilligan",NA,NA,NA,NA
"98","KT626057","Macquarie perch","984698099","MP_AC13|Australia: Adjungbilly Creek|35.05502 S 148.31598 E|09-May-2014|Tim McGarry, Dean Gilligan",NA,NA,NA,NA
"99","KT626058","Macquarie perch","984698100","MP_AC14|Australia: Adjungbilly Creek|35.03896 S 148.30501 E|09-May-2014|Tim McGarry, Dean Gilligan",NA,NA,NA,NA
"100","KT626059","Macquarie perch","984698101","MP_AC15|Australia: Adjungbilly Creek|35.03896 S 148.30501 E|09-May-2014|Tim McGarry, Dean Gilligan",NA,NA,NA,NA
"101","KT626060","Macquarie perch","984698102","MP_AC16|Australia: Adjungbilly Creek|35.03896 S 148.30501 E|09-May-2014|Tim McGarry, Dean Gilligan",NA,NA,NA,NA
"102","KT626061","Macquarie perch","984698103","MP_AC17|Australia: Adjungbilly Creek|35.03896 S 148.30501 E|09-May-2014|Tim McGarry, Dean Gilligan",NA,NA,NA,NA
"103","KT626062","Macquarie perch","984698104","MP_AC18|Australia: Adjungbilly Creek|35.08059 S 148.32725 E|09-May-2014|Tim McGarry, Dean Gilligan",NA,NA,NA,NA
"104","KT626063","Macquarie perch","984698105","MP_AC19|Australia: Adjungbilly Creek|35.08059 S 148.32725 E|09-May-2014|Tim McGarry, Dean Gilligan",NA,NA,NA,NA
"105","KT626064","Macquarie perch","984698106","MP_AC2|Australia: Adjungbilly Creek|35.021221 S 148.280492 E|09-May-2014|Tim McGarry, Dean Gilligan",NA,NA,NA,NA
"106","KT626065","Macquarie perch","984698107","MP_AC20|Australia: Adjungbilly Creek|35.08059 S 148.32725 E|09-May-2014|Tim McGarry, Dean Gilligan",NA,NA,NA,NA
"107","KT626066","Macquarie perch","984698108","MP_AC21|Australia: Adjungbilly Creek|35.08059 S 148.32725 E|09-May-2014|Tim McGarry, Dean Gilligan",NA,NA,NA,NA
"108","KT626067","Macquarie perch","984698109","MP_AC22|Australia: Adjungbilly Creek|35.08059 S 148.32725 E|09-May-2014|Tim McGarry, Dean Gilligan",NA,NA,NA,NA
"109","KT626068","Macquarie perch","984698110","MP_AC23|Australia: Adjungbilly Creek|35.08059 S 148.32725 E|09-May-2014|Tim McGarry, Dean Gilligan",NA,NA,NA,NA
"110","KT626069","Macquarie perch","984698111","MP_AC3|Australia: Adjungbilly Creek|35.021221 S 148.280492 E|09-May-2014|Tim McGarry, Dean Gilligan",NA,NA,NA,NA
